lat,lon,geometry
-87.77372329107212,41.777655754944064,POINT (-87.77372329107212 41.777655754944064)
-87.75708421192698,41.777655754944064,POINT (-87.75708421192698 41.777655754944064)
-87.74044513278184,41.777655754944064,POINT (-87.74044513278184 41.777655754944064)
-87.72380605363671,41.777655754944064,POINT (-87.72380605363671 41.777655754944064)
-87.70716697449157,41.777655754944064,POINT (-87.70716697449157 41.777655754944064)
-87.69052789534643,41.777655754944064,POINT (-87.69052789534643 41.777655754944064)
-87.6738888162013,41.777655754944064,POINT (-87.6738888162013 41.777655754944064)
-87.65724973705616,41.777655754944064,POINT (-87.65724973705616 41.777655754944064)
-87.64061065791103,41.777655754944064,POINT (-87.64061065791103 41.777655754944064)
-87.62397157876589,41.777655754944064,POINT (-87.62397157876589 41.777655754944064)
